pid,trust_tech,play_games,play_music,order,autonomy,auto_grouped,mdmt_reliable,mdmt_capable,mdmt_predictable,mdmt_skilled,mdmt_someone,mdmt_competent,mdmt_consistent,mdmt_meticulous,mdmt_reliable_ave,mdmt_capable_ave,mdmt_ave,p_auto,p_trust,pupil_diameter,new_left,new_right,new_ave,tapping_err_short,tapping_err_long,tapping_err_ave,tlx_mental,tlx_physical,tlx_hurried,tlx_insecure,tlx_hard,tlx_successful,tlx_ave,traj_err
6,5,6,2,dec,0.8,high,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.5,4.75,4.625,6,5,3.354363967837581,2.475,2.4250000000000003,2.45,6.671697696050005,5.89090912430374,6.143746271,6.0,5.0,8.0,6.0,7.0,6.0,6.333333333333333,0.7692677100088925
6,5,6,2,dec,0.2,low,2.0,2.0,3.0,0.0,3.0,2.0,2.0,3.0,2.5,1.75,2.125,4,3,3.4517952416310083,2.55,2.325,2.4375,3.8737266924646168,0.9708658191892898,2.556733391,10.0,8.0,11.0,12.0,11.0,10.0,10.333333333333334,1.7932124027995076
7,6,1,1,inc,0.2,low,4.0,5.0,5.0,4.0,2.0,3.0,4.0,3.0,3.75,3.75,3.75,7,5,3.599765240344283,2.375,2.525,2.45,5.868044098218253,4.696763455867737,5.1618522125,3.0,6.0,7.0,5.0,9.0,9.0,6.5,1.9340785834427623
7,6,1,1,inc,0.8,high,7.0,6.0,6.0,5.0,4.0,5.0,6.0,5.0,5.75,5.25,5.5,9,7,3.464084493610986,2.2,2.15,2.175,7.985696792602561,0.4713375949196889,4.645981592499999,2.0,3.0,4.0,3.0,6.0,3.0,3.5,0.583013165209145
8,6,2,2,dec,0.8,high,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1,9,3.028796181439505,2.025,2.025,2.025,15.69792603453006,12.159908355938072,14.0907620125,3.0,1.0,1.0,1.0,1.0,6.0,2.1666666666666665,0.816565406238365
8,6,2,2,dec,0.2,low,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1,9,3.1130311512094284,2.25,2.375,2.3125,7.158948183059636,13.998216349217609,10.3731887885,3.0,1.0,1.0,1.0,3.0,6.0,2.5,2.1496845443127577
9,6,2,4,inc,0.2,low,4.0,3.0,4.0,5.0,4.0,5.0,3.0,5.0,3.75,4.5,4.125,3,6,2.7463904412355427,2.6,2.4,2.5,13.210238615671791,-3.1842136383056667,6.548152487500001,2.0,2.0,4.0,3.0,6.0,13.0,5.0,2.099357161964935
9,6,2,4,inc,0.8,high,6.0,7.0,7.0,6.0,7.0,6.0,6.0,5.0,6.5,6.0,6.25,7,8,2.667536889460364,2.5,2.525,2.5125,-1.43898655970892,7.198726054694925,2.056702736249999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5565549401284525
10,3,4,1,dec,0.8,high,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.75,6.0,5.875,8,7,3.265656276829562,1.875,0.95,1.4125,5.476580262184134,-3.1674510240554508,1.5093040774999995,4.0,5.0,5.0,5.0,4.0,6.0,4.833333333333333,0.5946340437056
10,3,4,1,dec,0.2,low,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.75,4.75,4.75,6,6,3.221377270708383,1.8,0.7000000000000001,1.25,8.367370764414446,3.473105720347825,6.048739165749999,6.0,6.0,4.0,4.0,4.0,7.0,5.166666666666667,2.254189439597272
11,5,6,3,inc,0.2,low,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,6,5,3.252365657733726,2.2,2.3,2.25,9.646537899971008,26.08118705727439,16.871694044999998,12.0,10.0,5.0,4.0,6.0,6.0,7.166666666666667,1.7016509207017922
11,5,6,3,inc,0.8,high,6.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,5.75,5.25,5.5,8,7,3.091265677865613,1.5499999999999998,1.625,1.5875,4.802729189395935,17.70564772188664,10.8783964675,11.0,8.0,6.0,5.0,5.0,9.0,7.333333333333333,0.4782180589872999
12,6,7,5,dec,0.8,high,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7,7,0.0,1.025,1.025,1.025,2.991874151759683,3.877837624814776,3.36320607875,2.0,1.0,2.0,1.0,2.0,12.0,3.333333333333333,0.71637355969593
12,6,7,5,dec,0.2,low,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,1,0.0,0.975,0.975,0.975,3.9658164978027344,-6.718291309144762,-0.6923110079999999,2.0,1.0,1.0,3.0,3.0,18.0,4.666666666666667,2.5833330926244646
13,7,7,2,inc,0.2,low,3.0,3.0,4.0,3.0,3.0,3.0,5.0,4.0,3.75,3.25,3.5,3,4,3.472890458867904,1.775,1.9,1.8375,9.93423561255143,2.745184898376471,6.65542645975,5.0,3.0,3.0,1.0,7.0,7.0,4.333333333333333,1.906905843587149
13,7,7,2,inc,0.8,high,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,8,8,3.3856224433227853,1.525,1.6,1.5625,4.514674743016553,4.401770275500079,4.4644949795,3.0,3.0,3.0,1.0,5.0,2.0,2.833333333333333,0.4212614548785225
14,6,6,2,dec,0.8,high,7.0,7.0,6.0,7.0,7.0,7.0,6.0,6.0,6.5,6.75,6.625,9,8,2.75326717545057,0.725,0.775,0.75,2.4991234640280524,6.9810897111892665,4.516248243500001,3.0,5.0,4.0,5.0,7.0,4.0,4.666666666666667,0.790634153975615
14,6,6,2,dec,0.2,low,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.5,5.0,4.75,6,5,2.794327680742988,0.45,0.65,0.55,7.645597855250037,0.0273988478713724,4.259731631499999,3.0,5.0,5.0,9.0,9.0,7.0,6.333333333333333,2.401888764264357
15,6,5,4,inc,0.2,low,5.0,4.0,5.0,5.0,4.0,4.0,6.0,6.0,5.0,4.75,4.875,5,5,3.272809978027031,1.975,1.825,1.9,14.329830408096322,16.384755864187547,15.0814195075,2.0,3.0,3.0,2.0,3.0,4.0,2.833333333333333,1.070211145814615
15,6,5,4,inc,0.8,high,6.0,6.0,7.0,7.0,6.0,6.0,7.0,7.0,6.5,6.5,6.5,8,7,3.2817157142370084,1.95,2.025,1.9875000000000005,2.153048018614455,0.1961305737495475,1.2833069300000002,1.0,2.0,1.0,1.0,1.0,1.0,1.1666666666666667,0.4609685760957626
16,5,1,1,dec,0.8,high,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,6.75,7.0,6.875,9,8,3.5562415757361125,2.075,1.975,2.025,-5.522928237915039,-7.01209286848704,-6.115271380500001,1.0,1.0,2.0,1.0,2.0,6.0,2.1666666666666665,0.9749814376964274
16,5,1,1,dec,0.2,low,4.0,5.0,3.0,5.0,4.0,5.0,4.0,3.0,3.75,4.5,4.125,7,6,3.438520563681997,2.2,2.0,2.1,8.377673029899588,8.008672650213612,7.9889273125,3.0,2.0,4.0,3.0,5.0,14.0,5.166666666666667,1.6291009625559298
17,5,5,1,inc,0.2,low,4.0,5.0,4.0,2.0,7.0,4.0,2.0,2.0,4.25,3.25,3.75,6,7,3.9149630233216177,1.9,1.875,1.8875,14.09881591796875,6.905861695607504,10.0643424725,15.0,1.0,5.0,9.0,12.0,11.0,8.833333333333334,1.7954490024798124
17,5,5,1,inc,0.8,high,6.0,7.0,6.0,7.0,5.0,6.0,6.0,6.0,5.75,6.5,6.125,10,9,3.604183410244379,2.1,2.1500000000000004,2.125,15.280558400683931,14.682106447440596,14.779348464999998,7.0,1.0,4.0,7.0,7.0,6.0,5.333333333333333,0.464244924906595
18,3,6,1,dec,0.8,high,6.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,5.5,6.0,5.75,8,8,3.6587772678035178,2.225,2.375,2.3,7.051334381103516,18.49886410766177,12.038811426,7.0,7.0,9.0,6.0,6.0,3.0,6.333333333333333,0.4638727983067149
18,3,6,1,dec,0.2,low,4.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4,5,3.670102021663761,2.425,2.55,2.4875,9.502140904466284,23.893090668651823,15.797101184499995,7.0,4.0,10.0,6.0,11.0,5.0,7.166666666666667,2.9019970581437176
19,6,7,5,inc,0.2,low,5.0,5.0,5.0,6.0,4.0,6.0,6.0,5.0,5.0,5.5,5.25,5,4,2.783113195964992,1.925,1.75,1.8375,1.9272335370381584,0.8646022942330998,1.4549529842500002,7.0,5.0,6.0,3.0,5.0,4.0,5.0,1.61746345663835
19,6,7,5,inc,0.8,high,6.0,7.0,6.0,6.0,5.0,6.0,7.0,6.0,6.0,6.25,6.125,8,4,2.559468144986371,1.75,2.025,1.8875,2.6506435871124268,3.936363259951275,3.18612494975,3.0,2.0,4.0,2.0,2.0,3.0,2.6666666666666665,0.5984503445174449
20,6,1,2,dec,0.8,high,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.5,2.75,2.625,4,3,3.2372502628706545,2.6500000000000004,2.575,2.6125,-12.383876343568083,22.485126058260583,4.103439797500002,4.0,4.0,6.0,6.0,5.0,10.0,5.833333333333333,0.6176778883030375
20,6,1,2,dec,0.2,low,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.75,1.5,1.625,3,3,3.292745889357664,2.45,2.475,2.4625,10.870552294784108,22.85742322603864,16.245487389,6.0,5.0,7.0,8.0,8.0,10.0,7.333333333333333,2.5534211134998004
21,7,6,1,inc,0.2,low,4.0,5.0,3.0,3.0,3.0,5.0,6.0,4.0,4.0,4.25,4.125,6,5,2.8691124908046874,2.575,2.575,2.575,-2.1149321893850823,2.248862923847321,-0.1538201907499985,2.0,3.0,10.0,1.0,12.0,12.0,6.666666666666667,2.35155028151429
21,7,6,1,inc,0.8,high,6.0,7.0,6.0,7.0,6.0,7.0,7.0,6.0,6.25,6.75,6.5,9,10,2.742948556734734,2.6,2.7,2.6499999999999995,7.174146672089897,4.958628570591959,5.63580971725,1.0,1.0,10.0,1.0,7.0,4.0,4.0,0.57129974802053
22,5,1,1,dec,0.8,high,7.0,7.0,7.0,7.0,0.0,6.0,6.0,4.0,5.0,6.0,5.5,9,9,2.99909536851381,2.3,2.375,2.3375000000000004,-6.148944795131696,5.35402140683598,-1.0365153750000005,2.0,2.0,2.0,2.0,5.0,8.0,3.5,0.7149681809963375
22,5,1,1,dec,0.2,low,4.0,5.0,4.0,4.0,1.0,5.0,4.0,3.0,3.25,4.25,3.75,7,6,2.9368420310648204,2.4,2.4000000000000004,2.4,0.2908263603846164,7.187086608674794,3.38029098,5.0,5.0,6.0,4.0,11.0,8.0,6.5,1.1833308713676225
23,5,5,4,inc,0.2,low,6.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.75,4.5,4.625,7,6,3.7796190721485887,1.775,1.975,1.875,3.085759878158578,12.563052773475643,7.155218357499999,6.0,4.0,8.0,3.0,7.0,7.0,5.833333333333333,1.8750728527858505
23,5,5,4,inc,0.8,high,6.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,5.75,5.5,5.625,8,8,3.9061578534794297,1.75,1.875,1.8125,9.869060516357422,9.517133037249248,9.258514910000002,2.0,1.0,1.0,1.0,11.0,4.0,3.333333333333333,0.7318519737903749
24,6,1,3,dec,0.8,high,0.0,2.0,4.0,1.0,0.0,0.0,4.0,0.0,2.0,0.75,1.375,2,1,3.000034578134847,2.65,2.425,2.5375000000000005,5.153391639391561,5.6506163279215365,5.3367655975,2.0,1.0,2.0,1.0,8.0,10.0,4.0,1.0312434930508974
24,6,1,3,dec,0.2,low,0.0,1.0,6.0,2.0,0.0,0.0,6.0,1.0,3.0,1.0,2.0,1,1,2.903579117111998,2.05,2.275,2.1625,1.5459078550338743,7.153260707855223,3.974551823499999,4.0,1.0,1.0,1.0,6.0,12.0,4.166666666666667,2.84583041339336
